"";"Sujeira Inicial";"Utilidade";"Qtd Sujeira"
"1";10;1266,822;24,325
"2";20;2915,436;50,761
"3";30;4449,701;81,898
"4";40;5949,514;112,603
"5";50;7292,103;150,326
"6";60;8513,465;192,936
"7";70;9581,559;240,31
"8";80;10413,358;296,372
"9";90;11129,269;356,926
"10";100;11561,269;427,24
