"";"Sujeira Inicial";"Utilidade";"Qtd Sujeira"
"1";10;5005,053;119,876
"2";20;6294,04;145,297
"3";30;7436,38;178,443
"4";40;8321,591;213,269
"5";50;9268,561;251,331
"6";60;9930,768;295,202
"7";70;10540,029;340,889
"8";80;10992,544;391,063
"9";90;11337,832;444,252
"10";100;11602,656;503,167
