"";"numero usuarios";"Utilidade";"Qtd Sujeira"
"1";5;5465,212;124,578
"2";10;5950,183;176,263
"3";15;6164,108;223,497
"4";20;6399,22;265,243
"5";25;6298,996;309,409
"6";30;6300,119;344,528
"7";35;6141,445;376,541
"8";40;5971,757;407,44
"9";45;5781,341;433,629
"10";50;5632,369;454,676
"11";55;5274,55;478,373
"12";60;5038,92;497,251
"13";65;4926,98;515,704
"14";70;4617,755;534,125
"15";75;4408,167;548,708
