"";"numero usuarios";"Utilidade";"Qtd Sujeira"
"1";5;2169,232;78,659
"2";10;2659,55;86,307
"3";15;3110,354;95,409
"4";20;3457,773;104,873
"5";25;3692,15;124,304
"6";30;3789,119;148,981
"7";35;3960,088;171,129
"8";40;3877,78;196,522
"9";45;3912,234;222,555
"10";50;3855,789;244,902
"11";55;3771,661;269,124
"12";60;3555,001;295,358
"13";65;3497,101;315,07
"14";70;3363,198;336,302
"15";75;3120,047;356,805
