"";"numero usuarios";"Utilidade";"Qtd Sujeira"
"1";5;1094,637;59,391
"2";10;1270,527;65,076
"3";15;1443,705;69,672
"4";20;1409,4;76,633
"5";25;1595,785;82,646
"6";30;1687,619;88,819
"7";35;1683,221;95,976
"8";40;1655,266;105,976
"9";45;1597,677;116,113
"10";50;1646,186;130,736
"11";55;1636,334;140,347
"12";60;1382,306;154,824
"13";65;1517,334;168,063
"14";70;1319,381;182,585
"15";75;1222,182;195,386
