"";"numero usuarios";"Utilidade";"Qtd Sujeira"
"1";5;498,589;32,481
"2";10;475,286;34,295
"3";15;448,345;37,223
"4";20;369,673;40,734
"5";25;362,093;45,937
"6";30;285,057;48,08
"7";35;156,571;52,554
"8";40;60,554;57,151
"9";45;11,31;61,435
"10";50;-295,024;65,91
"11";55;-331,778;71,758
"12";60;-538,967;77,407
"13";65;-594,702;82,676
"14";70;-770,89;89,908
"15";75;-1039,103;95,383
