"";"numero usuarios";"Utilidade";"Qtd Sujeira"
"1";5;713,533;41,854
"2";10;806,824;47,295
"3";15;842,382;50,131
"4";20;855,086;54,984
"5";25;843,255;59,64
"6";30;809,769;65,417
"7";35;755,965;71,525
"8";40;726,139;76,035
"9";45;642,873;81,766
"10";50;516,986;87,895
"11";55;427,572;95,124
"12";60;266,637;104,218
"13";65;174,755;110,145
"14";70;-26,742;119,953
"15";75;-110,1;130,516
