"";"Sujeira Inicial";"Utilidade";"Qtd Sujeira"
"1";10;1267,647;24,381
"2";20;2870,178;51,635
"3";30;4436,821;81,469
"4";40;5828,003;116,551
"5";50;7046,649;158,195
"6";60;7982,931;209,959
"7";70;8880,226;263,233
"8";80;9511,091;327,034
"9";90;9883,881;399,615
"10";100;10291,321;470,566
