"";"Sujeira Inicial";"Utilidade";"Qtd Sujeira"
"1";10;1244,495;24,551
"2";20;2923,991;51,499
"3";30;4534,235;79,553
"4";40;5979,55;113,112
"5";50;7254,33;152,202
"6";60;8670,58;186,993
"7";70;9608,194;240,175
"8";80;10390,571;297,071
"9";90;11244,389;352,398
"10";100;11654,044;423,927
