"";"numero usuarios";"Utilidade";"Qtd Sujeira"
"1";5;889,627;19,458
"2";10;1115,172;27,335
"3";15;1230,658;35,733
"4";20;1347,535;45,607
"5";25;1458,887;55,406
"6";30;1524,933;67,229
"7";35;1594,833;78,351
"8";40;1601,343;90,757
"9";45;1630,672;103,618
"10";50;1528,419;117,738
"11";55;1502,095;132,574
"12";60;1445,302;147,065
"13";65;1336,071;161,986
"14";70;1288,962;178,541
"15";75;1182,654;191,981
