"";"numero usuarios";"Utilidade";"Qtd Sujeira"
"1";5;2291,174;41,275
"2";10;2778,038;58,666
"3";15;3193,055;77,887
"4";20;3500,703;99,844
"5";25;3709,672;124,194
"6";30;3816,488;147,339
"7";35;3898,412;173,256
"8";40;3954,451;196,273
"9";45;3907,793;221,048
"10";50;3872,807;246,925
"11";55;3760,783;271,286
"12";60;3621,052;290,371
"13";65;3509,329;314,101
"14";70;3235,257;337,815
"15";75;3075,967;356,454
